code,name,full_name,address
eakar,Ea Kar,CHI NHÁNH KHU VỰC EA KAR,
buondon,Buôn Đôn,CHI NHÁNH KHU VỰC BUÔN ĐÔN,
cukuin,Cư Kuin,CHI NHÁNH KHU VỰC CƯ KUIN,
krongpac,Krông Pắc,CHI NHÁNH KHU VỰC KRÔNG PẮC,
krongbuk,Krông Búk,CHI NHÁNH KHU VỰC KRÔNG BÚK,
krongana,Krông Ana,CHI NHÁNH KHU VỰC KRÔNG ANA,
krongbong,Krông Bông,CHI NHÁNH KHU VỰC KRÔNG BÔNG,
krongnang,Krông Năng,CHI NHÁNH KHU VỰC KRÔNG NĂNG,
lak,Lắk,CHI NHÁNH KHU VỰC LẮK,
madrak,M'Đrắk,CHI NHÁNH KHU VỰC M'ĐRẮK,
cumgar,Cư M'gar,CHI NHÁNH KHU VỰC CƯ M'GAR,
eahleo,Ea H'leo,CHI NHÁNH KHU VỰC EA H'LEO,
easup,Ea Súp,CHI NHÁNH KHU VỰC EA SÚP,
buonho,Buôn Hồ,CHI NHÁNH KHU VỰC BUÔN HỒ,
bmt,Buôn Ma Thuột,CHI NHÁNH KHU VỰC BUÔN MA THUỘT,
cn16,Chi nhánh 16,CHI NHÁNH KHU VỰC 16,
cn17,Chi nhánh 17,CHI NHÁNH KHU VỰC 17,
cn18,Chi nhánh 18,CHI NHÁNH KHU VỰC 18,
cn19,Chi nhánh 19,CHI NHÁNH KHU VỰC 19,
cn20,Chi nhánh 20,CHI NHÁNH KHU VỰC 20,
cn21,Chi nhánh 21,CHI NHÁNH KHU VỰC 21,
cn22,Chi nhánh 22,CHI NHÁNH KHU VỰC 22,
cn23,Chi nhánh 23,CHI NHÁNH KHU VỰC 23,
cn24,Chi nhánh 24,CHI NHÁNH KHU VỰC 24,
